instruction,output,financial_score,word_count
Can the risk of investing in an asset be different for different investors?,"In a perfect market, share prices are by definition a perfect reflection of the true value of a share. Hence, you always get $10 for a share that's worth that much. In reality, the market is imperfect. Prices are somewhat of an average of all different estimates, and there's a cost-of-trading margin between sales and buy prices. Hence, in a perfect market it doesn't matter whether you have a stop loss order at $9.00. That just trades your stock worth $9 for cash worth the same $9. In an imperfect market, that trade nets you less. Furthermore, is risk a linear function of money? Perhaps not, if you bought on margin, need to lend extra and your interest rate increases with the extra credit demand.",16,138
Why do people build a stock portfolio if one could get a higher return from bank interest than dividend per annum?,Stock prices aren't constant; they rise and fall.   The overall return on a share is the combination of the dividends paid plus the change in value of the share.  Some companies pay no dividend at all yet investors still buy their shares because they believe the share price will rise. People invest in stocks because they believe that the overall return will exceed what they can get from cash in the bank.   As to options they do offer higher potential profits but they also offer higher potential losses.  Different investors have different appetites for risk.  Many are comfortable with the risk of mainstream stock investing but not with that of options trading.,15,133
Cash out 401k for house downpayment,"As @AlexKuhl says, ever? yes, but generally? no. If your 401k is invested in stocks and bonds, the long term return is very likely higher than the interest on a mortgage. Long term return on the stock market is around 7%. Mortgage rates these days are around 4%. Add the tax penalty on top of that and you're almost surely better to keep your money in the 401k. There's also the psychological/budgeting factor. People very often say, ""I'll pull money out of my retirement fund for this important purchase and then put it back later."" And then later comes and there are other expenses and things they want to do and they never put the money back.",14,123
What option-related strategies are better suited to increasing return potential?,"It definitely depends on your risk appetite as Joe Taxpayer pointed out in his answer. Covered calls are a good choice for someone who already own's the stock, because the premium collected reduces the cost basis for the position. The downside is that if the calls are exercised, there is a good chance that you are missing out on additional upside in the stock price (because the strike is obviously below the market value for the stocks).  Another good option trade is the spread option. This would allow you to capture the difference between the two strikes of the options in the spread. This is also one of the less risky choices because your initial cost an potential profit/loss are known in advance of entering the position.",13,137
Why do so many people trade a bankrupt company's stock?,"It may have some value!  Investopedia has a well-written quick article on how stock holders may still get some portion of the liquidated assets.  While there is generally little left for common shareholders if the price of those shares is tiny and some money does come back to shareholders there can still be significant profit to be made. As to why the trading volume is so high... there are many firms and hedge funds that specialize in calculating the value of and buying distressed debt and stock.  They often compete with each other to by the stock/debt that common shareholders are trying to get rid of.  In this particular case, there is a lot of popular interest, intellectual property at stake and pending lawsuits that probably boosts volume.",13,138
What tax law loophole is Buffet referring to?,"A Section 1256 contract is any: Non-equity options include debt options, commodity futures options, currency options, and broad-based stock index options. A broad-based stock index is based upon the value of a group of diversified stocks or securities (such as the Standard and Poor's 500 index). 60% of the capital gain or loss from Section 1256 Contracts is deemed to be long-term capital gain or loss and 40% is deemed to be short-term capital gain or loss. What this means is a more favorable tax treatment of 60% of your gains. http://www.tradelogsoftware.com/tax-topics/futures/ It's a really wierd rule (arbitraty 60% designation, so broad, etc), but section 1256 contracts get preferential tax treatment and that's what Buffett's talking about.",13,125
Effect on Bond asset allocation if Equity markets crash?,"what will happen to the valuation of Tom's bond holdings after the equity crash? This is primarily opinion based. What will happen is generally hard to predict. Bond Price Bump due to Demand:  Is a possible outcome; this depends on the assumption that the bonds in the said country are still deemed safe. Recent Greece example, this may not be true. So if the investors don't believe that Bonds are safe, the money may move into Real Estate, into Bullion [Gold etc], or to other markets. In such a scenario; the price may not bump up. Bond Price Decline due to Rising Interest Rates:  On a rising interest rates, the long-term bonds may loose in value while the short term bonds may hold their value. Related question How would bonds fare if interest rates rose?",13,144
Borrowing money to buy shares for cashflow?,"This depends on: Here in the US where I am, interest rates were around 3.9% when I fixed my mortgage. This underperforms the market, e.g., a total market ETF like $VTI or an SP500 ETF like $VOO have expected returns of ~7+%, the current market growth rate. So, in theory I am better off paying into the market, and making returns greater than my interest rate, rather than paying into the equity.  HOWEVER, past market returns do not guarantee future market returns. The market could reset. It could crash. Are you willing to accept this risk? You have to analyze what happens if the market suffers say a 30% correction and you lose a lot of money quickly.  I would certainly not invest in individual (non-ETF) stocks, or you are really exposing yourself to risk.",13,142
Borrowing money to buy shares for cashflow?,"Buying individual/small basket of high dividend shares is exposing you to 50%+ and very fast potential downswings in capital/margin calls. There is no free lunch in returns in this respect: nothing that pays enough to help you pay your mortgage at a high rate won’t expose you to a lot of potential volatility. Main issue here looks like you have very poorly performing rental investments you should consider selling or switching up rental usage/how you rent them (moving to shorter term, higher yield lets, ditching any agents/handymen that are taking up capital/try and refinance to lower mortgage rates etc etc). Trying to use leveraged stock returns to pay for poorly performing housing investments is like spraying gasoline all over a fire. Fixing the actual issue in hand first is virtually always the best course of action in these scenarios.",13,146
Would every FX currency pair or public stock that is under the 30 level using Relative Strength Index (RSI) be an undervalued pair?,"No. The long-term valuation of currencies has to do with Purchasing Power Parity.  The long-term valuation of stocks has to do with revenues, expenses, market sizes, growth rates, and interest rates. In the short term, currency and stock prices change for many reasons, including interest rate changes, demand for goods and services, asset price changes, political fears, and momentum investing.  In any given time window, a currency or stock might be: The Relative Strength Index tries to say whether a currency or stock has recently been rising or falling; it does not inherently say anything about whether the current value is high or low.",13,127
